cluster_id,dominant_label,total_samples,purity,label_distribution
0,MQTT_Malformed,2053,0.6410131514856308,"{'MQTT_DoS': 10, 'Benign': 186, 'ARP_Spoofing': 488, 'MQTT_Malformed': 1316, 'Reconnaissance': 51, 'MQTT_DDoS': 2}"
1,Reconnaissance,4301,0.9323413159730295,"{'Reconnaissance': 4010, 'MQTT_DDoS': 291}"
2,TCP_IP_DoS,18101,0.5503010883376609,"{'TCP_IP_DDoS': 8140, 'TCP_IP_DoS': 9961}"
3,MQTT_DoS,22668,0.4127404270337039,"{'TCP_IP_DDoS': 1, 'MQTT_DoS': 9356, 'Benign': 8532, 'ARP_Spoofing': 2473, 'MQTT_Malformed': 1208, 'Reconnaissance': 492, 'MQTT_DDoS': 606}"
4,ARP_Spoofing,3210,0.45482866043613707,"{'TCP_IP_DDoS': 1, 'Benign': 402, 'ARP_Spoofing': 1460, 'MQTT_Malformed': 1344, 'Reconnaissance': 3}"
5,Reconnaissance,1006,0.5596421471172962,"{'Benign': 152, 'ARP_Spoofing': 271, 'MQTT_Malformed': 20, 'Reconnaissance': 563}"
6,TCP_IP_DDoS,1990,0.9331658291457287,"{'TCP_IP_DDoS': 1857, 'MQTT_DoS': 18, 'TCP_IP_DoS': 18, 'ARP_Spoofing': 8, 'MQTT_DDoS': 87, 'Reconnaissance': 2}"
7,MQTT_DDoS,9783,0.9083103342532965,"{'TCP_IP_DDoS': 1, 'MQTT_DoS': 616, 'Benign': 83, 'ARP_Spoofing': 82, 'MQTT_Malformed': 60, 'Reconnaissance': 55, 'MQTT_DDoS': 8886}"
8,Reconnaissance,77,1.0,{'Reconnaissance': 77}
9,ARP_Spoofing,5700,0.765438596491228,"{'TCP_IP_DoS': 21, 'Benign': 333, 'ARP_Spoofing': 4363, 'MQTT_Malformed': 1, 'Reconnaissance': 982}"
10,Reconnaissance,3,1.0,{'Reconnaissance': 3}
11,Reconnaissance,4500,0.8353333333333334,"{'Benign': 15, 'ARP_Spoofing': 9, 'MQTT_Malformed': 589, 'Reconnaissance': 3759, 'MQTT_DDoS': 128}"
12,ARP_Spoofing,1738,0.48676639815880324,"{'Benign': 297, 'ARP_Spoofing': 846, 'MQTT_Malformed': 592, 'Reconnaissance': 3}"
